,row_index,function_type,degree,depth,num_layers,width,layer_width,num_variables,erm_num_samples,num_training_epochs,num_iter,net_type,train_batch_size,learning_rate,train_loss_initial,val_loss_initial,train_loss_final,val_loss_final
0,0,parity,8,two,2,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,7961.731685698032,8056.35151553154,7777.235716640949,8215.982697963715
0,1,parity,8,two,2,d,8,32,8000,100,800000,ReLUResNet,20,0.01,7931.745601534843,8087.423933982849,7570.531500995159,8419.276240766048
0,10,parity,8,d,8,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,7853.135528802872,8228.916643977165,4979.369635105133,11310.374229341745
0,100,complete,16,half_d,8,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,18.020481295374793,644245262.6035974,0.00418413822556829,1503238576.0041673
0,101,complete,16,half_d,8,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,32.97865081133568,1073741632.6015499,0.39075586996068523,1288490080.4069767
0,102,complete,16,half_d,8,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,38.75092284235143,1073741989.8509173,0.5687355017371374,2576980592.603268
0,103,complete,16,half_d,8,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,35.723035310227715,1073741987.7065177,0.12005986696635773,1288490160.1289456
0,104,complete,16,d,16,half_d,8,32,16000,100,1600000,ReLUResNet,20,0.01,261.6003673197249,1073742069.0183794,0.04186892863905811,858993472.115603
0,105,complete,16,d,16,d,16,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,106,complete,16,d,16,2d,32,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,107,complete,16,d,16,4d,64,32,16000,100,1600000,ReLUResNet,20,0.01,,,,
0,108,clipped_complete,8,two,2,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,2334630.38227123,2020756.2558515072,2090592.975003004,1862159.914800167
0,109,clipped_complete,8,two,2,d,8,32,8000,100,800000,ReLUResNet,20,0.01,1578509.9264414907,1910003.713596344,7895.622575640678,8354.57500231266
0,11,parity,8,d,8,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,7737.990740478039,8361.952784478664,1171.0318612195551,17816.924151599407
0,110,clipped_complete,8,two,2,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,1599953.9747052193,2073586.59920609,6259.45522159338,6680.911671757698
0,111,clipped_complete,8,two,2,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,1710407.3733224273,1899317.546392262,5453.786236077547,6245.739074155688
0,112,clipped_complete,8,half_d,4,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,1743892.5551658869,1769719.5475816727,1715085.0314736366,1903165.8968019485
0,113,clipped_complete,8,half_d,4,d,8,32,8000,100,800000,ReLUResNet,20,0.01,2220825.3215054274,1958336.8747026324,69355.3463307023,64216.65666949749
0,114,clipped_complete,8,half_d,4,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,115,clipped_complete,8,half_d,4,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,116,clipped_complete,8,d,8,half_d,4,32,8000,100,800000,ReLUResNet,20,0.01,1700059.371460557,2043973.9995821714,677346.323845923,2214663.5729130507
0,117,clipped_complete,8,d,8,d,8,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,118,clipped_complete,8,d,8,2d,16,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,119,clipped_complete,8,d,8,4d,32,32,8000,100,800000,ReLUResNet,20,0.01,,,,
0,12,parity,12,two,2,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,11978.076938569546,12057.419754207134,11701.243988394737,12302.219077527523
0,120,clipped_complete,12,two,2,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,121,clipped_complete,12,two,2,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,122,clipped_complete,12,two,2,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,123,clipped_complete,12,two,2,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,124,clipped_complete,12,half_d,6,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,125,clipped_complete,12,half_d,6,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,11892.318801403046,48643142.40179849,10547.080305039883,48645070.85134429
0,126,clipped_complete,12,half_d,6,2d,24,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,127,clipped_complete,12,half_d,6,4d,48,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,128,clipped_complete,12,d,12,half_d,6,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
0,129,clipped_complete,12,d,12,d,12,32,12000,100,1200000,ReLUResNet,20,0.01,,,,
